# decision options: KEEP, CREATE, EXPAND, MERGE, RENAME, DELETE, ADD_TO_BLUEPRINT
source,tab,position,blueprint_name,blueprint_type,blueprint_phase,repo_file,status,word_count,has_title,has_description,brand_violations,decision,notes
BLUEPRINT,RESOURCE HUB,5,Component Library,guide,Product,v2/resources/documentation-guide/snippets-inventory.mdx,PLACEHOLDER,774,true,true,,,
BLUEPRINT,RESOURCE HUB,6,Changelog,reference,Retention,v2/resources/changelog/changelog.mdx,EXISTS,393,false,false,,,
REPO_ONLY,ABOUT,,,,,v2/about/core-concepts.mdx,EXISTS,595,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/core-concepts/concepts/actors.mdx,EXISTS,386,true,true,banned:leverage; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/faq-about.mdx,PLACEHOLDER,2200,true,true,banned:just; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/index.mdx,EXISTS,96,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-network/demand-side.mdx,STUB,20,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-network/interfaces.mdx,EXISTS,282,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-network/job-lifecycle.mdx,EXISTS,725,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-network/livepeer-actors/delegators.mdx,EXISTS,145,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-network/livepeer-actors/end-users.mdx,EXISTS,124,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-network/livepeer-actors/gateways.mdx,EXISTS,153,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-network/livepeer-actors/orchestrators.mdx,EXISTS,153,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-network/supply-side.mdx,STUB,17,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-network/technical-architecture.mdx,EXISTS,390,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-overview.mdx,EXISTS,1092,true,true,banned:just; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-protocol/core-mechanisms.mdx,EXISTS,1813,true,true,banned:leverage; banned:seamless; deprecated:broadcaster->gateway; deprecated:miner->orchestrator,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-protocol/economics.mdx,EXISTS,781,true,false,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-protocol/governance-model.mdx,EXISTS,1070,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-protocol/livepeer-token.mdx,PLACEHOLDER,841,true,true,banned:just; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-protocol/overview.mdx,EXISTS,893,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-protocol/technical-architecture.mdx,EXISTS,117,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/livepeer-protocol/treasury.mdx,EXISTS,701,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/mental-model.mdx,EXISTS,1428,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/portal.mdx,EXISTS,104,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/resources/blockchain-contracts.mdx,EXISTS,173,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/resources/gateways-vs-orchestrators.mdx,EXISTS,184,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/resources/livepeer-glossary.mdx,EXISTS,1533,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/resources/livepeer-whitepaper.mdx,EXISTS,415,true,false,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/resources/technical-roadmap.mdx,STUB,6,false,false,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/_move_me/livepeer-hubs/livepeer-builder-hub.mdx,STUB,4,false,false,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/_move_me/livepeer-hubs/livepeer-partner-hub.mdx,STUB,17,false,false,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/_move_me/livepeer-partners/livepeer-builder-hub.mdx,STUB,4,false,false,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/_move_me/livepeer-partners/livepeer-partner-hub.mdx,STUB,17,false,false,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/index.mdx,EXISTS,79,true,true,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/livepeer-community/community-guidelines.mdx,EXISTS,1746,true,true,banned:just; banned:easily,,
REPO_ONLY,COMMUNITY,,,,,v2/community/livepeer-community/governance-and-foundation.mdx,EXISTS,1486,true,true,banned:best-in-class,,
REPO_ONLY,COMMUNITY,,,,,v2/community/livepeer-community/livepeer-latest-topics.mdx,EXISTS,226,true,true,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/livepeer-community/roadmap.mdx,EXISTS,71,true,true,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/livepeer-community/trending-topics.mdx,EXISTS,62,true,true,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/livepeer-connect/forums-and-discussions.mdx,EXISTS,617,true,true,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/livepeer-connect/news-and-socials.mdx,STUB,6,true,true,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/livepeer-contribute/build-livepeer.mdx,STUB,21,true,true,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/resources/awesome-livepeer.mdx,EXISTS,950,true,true,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/resources/dashboards.mdx,STUB,27,true,true,,,
REPO_ONLY,COMMUNITY,,,,,v2/community/resources/guides.mdx,EXISTS,398,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,DEVELOPERS,,,,,v2/developers/ai-inference-on-livepeer/overview.mdx,PLACEHOLDER,332,true,true,,,
REPO_ONLY,DEVELOPERS,,,,,v2/developers/ai-inference-on-livepeer/workload-fit.mdx,PLACEHOLDER,678,true,true,,,
REPO_ONLY,DEVELOPERS,,,,,v2/developers/ai-pipelines/comfystream.mdx,EXISTS,207,true,true,,,
REPO_ONLY,DEVELOPERS,,,,,v2/developers/ai-pipelines/workload-fit.mdx,EXISTS,675,true,true,,,
REPO_ONLY,DEVELOPERS,,,,,v2/developers/builder-opportunities/livepeer-rfps.mdx,STUB,13,true,false,,,
REPO_ONLY,DEVELOPERS,,,,,v2/developers/builder-opportunities/oss-contributions.mdx,EXISTS,1128,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,DEVELOPERS,,,,,v2/developers/builder-opportunities/rfps-and-proposals.mdx,EXISTS,920,true,true,,,
