# decision options: KEEP, CREATE, EXPAND, MERGE, RENAME, DELETE, ADD_TO_BLUEPRINT
source,tab,position,blueprint_name,blueprint_type,blueprint_phase,repo_file,status,word_count,has_title,has_description,brand_violations,decision,notes
BLUEPRINT,DELEGATORS,5,Treasury & Proposals,how_to,Referral,v2/delegators/guides/treasury/overview.mdx,EXISTS,395,true,true,,,
BLUEPRINT,DELEGATORS,6,Delegator FAQ & Troubleshooting,faq,Product,,MISSING,0,false,false,,,
BLUEPRINT,COMMUNITY,1,Community Portal,landing,Awareness,v2/community/portal.mdx,STUB,0,true,true,,,
BLUEPRINT,COMMUNITY,2,Contributing to Livepeer,overview,Acquisition,v2/community/contribute/contribute.mdx,EXISTS,270,true,true,,,
BLUEPRINT,COMMUNITY,3,Your First Contribution,tutorial,Activation,,MISSING,0,false,false,,,
BLUEPRINT,COMMUNITY,4,Community Channels & Events,guide,Retention,v2/community/connect/events-and-streams.mdx,STUB,27,true,true,,,
BLUEPRINT,COMMUNITY,5,"Grants, Bounties & Programmes",reference,Referral,,MISSING,0,false,false,,,
BLUEPRINT,COMMUNITY,6,Community FAQ,faq,Product,,MISSING,0,false,false,,,
BLUEPRINT,ABOUT,2,Protocol Overview,concept,Product,v2/about/protocol/overview.mdx,MISSING,0,false,false,,,
BLUEPRINT,ABOUT,2,Core Mechanisms,concept,Product,v2/about/protocol/core-mechanisms.mdx,MISSING,0,false,false,,,
BLUEPRINT,ABOUT,2,Network Architecture,concept,Product,v2/about/network/technical-architecture.mdx,MISSING,0,false,false,,,
BLUEPRINT,ABOUT,2,The Marketplace,concept,Revenue,v2/about/network/marketplace.mdx,MISSING,0,false,false,,,
BLUEPRINT,ABOUT,2,Protocol Economics,concept,Revenue,v2/about/protocol/economics.mdx,MISSING,0,false,false,,,
BLUEPRINT,ABOUT,6,Glossary,glossary,Product,v2/about/resources/glossary.mdx,EXISTS,2943,true,true,deprecated:broadcaster->gateway,,
BLUEPRINT,RESOURCE HUB,1,Resource Portal,landing,Product,v2/resources/portal.mdx,EXISTS,105,true,true,,,
BLUEPRINT,RESOURCE HUB,5,Documentation Guide,guide,Product,v2/resources/documentation-guide/documentation-guide.mdx,EXISTS,829,true,true,,,
BLUEPRINT,RESOURCE HUB,5,Style Guide,guide,Referral,v2/resources/documentation-guide/style-guide.mdx,MISSING,0,false,false,,,
BLUEPRINT,RESOURCE HUB,5,Contributing to the Docs,guide,Referral,v2/resources/documentation-guide/contribute-to-the-docs.mdx,MISSING,0,false,false,,,
BLUEPRINT,RESOURCE HUB,5,Component Library,guide,Product,v2/resources/documentation-guide/snippets-inventory.mdx,MISSING,0,false,false,,,
BLUEPRINT,RESOURCE HUB,6,Changelog,reference,Retention,,MISSING,0,false,false,,,
REPO_ONLY,UNASSIGNED,,,,,v2/_workspace/archive/dep-blockchain-contracts.mdx,EXISTS,173,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,UNASSIGNED,,,,,v2/_workspace/archive/dep2-blockchain-contracts.mdx,STUB,0,true,true,banned:just,,
REPO_ONLY,UNASSIGNED,,,,,v2/_workspace/archive/index.mdx,EXISTS,127,true,true,,,
REPO_ONLY,UNASSIGNED,,,,,v2/_workspace/archive/mental-model-2.mdx,EXISTS,2072,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,UNASSIGNED,,,,,v2/_workspace/archive/resources/documentation-guide/component-library/display.mdx,EXISTS,1991,true,true,,,
REPO_ONLY,UNASSIGNED,,,,,v2/_workspace/archive/resources/documentation-guide/component-library/domain.mdx,STUB,48,true,true,,,
REPO_ONLY,UNASSIGNED,,,,,v2/_workspace/archive/resources/documentation-guide/component-library/integrations.mdx,EXISTS,145,true,true,,,
REPO_ONLY,UNASSIGNED,,,,,v2/_workspace/plans/restructure.mdx,EXISTS,1870,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/_workspace/blockchain-contracts.mdx,STUB,0,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/_workspace/canonical/checks.mdx,PLACEHOLDER,8425,true,true,banned:just; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/_workspace/dep-actors.mdx,EXISTS,386,true,true,banned:leverage; deprecated:broadcaster->gateway,,
